[3.21, 61.68, -100, -100, -100, -100, 23.62, 56.56, -20.7, 28.52, 14.69, 58.78, 22.71, 22.37, -100, -100, 45.3, 35.29, -100, -100, 14.76, 64.33, 5.67, 48.54, 13.43, 43.27, 5.2, 34.5, 14.67, 23.15, 25.13, 37.28, -100, -100, 23.46, 62.32, -33.95, 38.54, -8.73, 49.67, 19.63, 30.62, -8.53, 41.25, -10.7, 23.03, 11.69, 66.79, 16.04, 12.5, 16.89, 38.84, -100, -100, 2.88, 62.52, -100, -100, 1.03, 39.04]
[11.33, 66.41, -100, -100, -100, -100, 23.35, 57.93, -24.45, 28.5, 15.62, 58.49, 22.75, 22.6, -100, -100, 46.18, 34.89, -100, -100, 14.72, 64.33, 3.61, 46.38, 12.49, 41.6, 3.71, 32.17, 11.35, 19.81, 23.38, 33.87, -100, -100, 22.77, 61.62, -34.79, 37.95, -10.2, 47.28, 18.44, 28.95, -9.32, 39.11, -11.58, 23.05, 11.24, 66.31, 13.84, 11.87, 12.64, 35.24, -100, -100, 1.17, 63.97, -100, -100, -1.44, 36.55]
[-14.91, 47.13, -100, -100, -100, -100, 15.73, 44.69, -10.57, 31.59, 5.52, 42.78, 15.29, 11.38, -100, -100, 38.87, 34.17, -100, -100, 12.47, 55.45, -4.51, 54.02, 5.87, 29.86, -7.8, 42.87, 4.13, 20.29, 14.76, 32.05, -100, -100, 13.2, 50.42, -41.43, 33.64, -16.2, 48.23, 14.75, 34.89, -16.08, 34.65, -14.28, 14.68, 5.27, 65.07, 8.05, 1.7, 3.89, 23.59, -100, -100, -9.84, 60.89, -100, -100, -3.11, 45.58]
[-10.17, 58.7, -100, -100, -100, -100, 15.49, 46.56, -10.05, 35.01, 5.07, 44.57, 15.9, 13.39, -100, -100, 38.78, 34.92, -100, -100, 12.15, 58.37, -3.37, 53.66, 6.22, 31.54, -8.12, 45.48, 3.98, 21.64, 14.47, 32.96, -100, -100, 13.23, 50.62, -41.01, 34.03, -14.73, 48.1, 15.01, 34.47, -17.32, 34.7, -14.76, 15.5, 4.47, 65.55, 10.03, 2.01, 3.86, 24.85, -100, -100, -10.25, 58.15, -100, -100, -2.39, 52.01]
[-13.95, 48.03, -100, -100, -100, -100, 15.4, 47.89, -8.9, 36.48, 5.06, 45.8, 16.94, 15.77, -100, -100, 38.37, 35.0, -100, -100, 12.09, 59.97, -3.01, 52.47, 6.95, 32.1, -6.41, 47.26, 4.88, 20.72, 14.8, 34.35, -100, -100, 14.6, 52.26, -40.78, 34.41, -13.75, 48.01, 15.09, 33.89, -17.91, 35.23, -14.4, 17.15, 3.39, 66.26, 10.56, 2.29, 4.41, 24.72, -100, -100, -9.83, 55.49, -100, -100, -2.39, 51.43]
[-12.81, 47.93, -100, -100, -100, -100, 15.94, 49.02, -7.74, 36.05, 5.72, 45.71, 16.96, 16.53, -100, -100, 38.38, 34.78, -100, -100, 11.27, 61.4, -2.52, 51.74, 7.21, 32.07, -4.58, 45.82, 5.62, 20.02, 15.31, 34.27, -100, -100, 13.93, 50.72, -40.43, 34.61, -12.57, 47.91, 15.16, 33.88, -17.88, 35.1, -14.13, 17.49, 2.23, 66.45, 10.9, 2.58, 6.15, 24.03, -100, -100, -9.04, 52.27, -100, -100, -1.16, 49.05]
[-12.24, 36.96, -100, -100, -100, -100, 17.76, 39.94, -6.5, 34.61, 6.91, 43.99, 18.87, 14.07, -100, -100, 39.49, 35.42, -100, -100, 14.77, 52.15, 5.1, 54.72, 7.04, 29.98, -1.45, 44.2, 4.87, 17.95, 17.27, 30.38, -100, -100, 6.84, 49.97, -36.51, 35.42, -10.35, 50.7, 19.15, 35.17, -12.69, 37.79, -9.9, 19.37, -1.88, 65.26, 14.46, 3.63, 2.66, 22.66, -100, -100, 12.25, 52.38, -100, -100, -2.94, 41.9]
[-10.49, 20.62, -100, -100, -100, -100, 18.61, 43.43, -2.75, 37.07, 6.75, 49.51, 17.93, 18.22, -100, -100, 38.73, 35.46, -100, -100, 12.75, 54.11, 4.99, 54.25, 8.13, 32.23, -0.31, 47.12, 8.13, 17.27, 18.07, 32.48, -100, -100, 5.29, 49.99, -36.3, 36.38, -9.13, 49.49, 19.72, 36.28, -12.83, 38.35, -10.98, 20.96, -1.37, 65.02, 15.08, 4.58, 4.48, 24.31, -100, -100, 10.85, 51.77, -100, -100, -1.17, 40.54]
[-0.25, 48.46, -100, -100, -100, -100, 18.13, 41.14, -6.8, 28.78, 10.18, 38.53, 17.59, 19.75, -100, -100, 42.84, 34.99, -100, -100, 17.35, 51.23, 7.68, 55.57, 4.73, 29.92, 4.27, 41.04, 10.49, 14.31, 19.81, 28.56, -100, -100, -0.15, 48.45, -34.13, 35.61, -6.3, 47.95, 21.4, 28.26, -9.44, 35.07, -10.94, 22.24, -0.74, 59.33, 2.87, 14.08, 0.15, 30.68, -100, -100, 9.66, 56.01, -100, -100, -2.15, 40.05]
[10.65, 53.41, -100, -100, -100, -100, 21.05, 43.33, -13.89, 26.01, 5.1, 44.12, 19.08, 20.32, -100, -100, 45.51, 35.82, -100, -100, 16.65, 51.6, 8.08, 55.27, 8.33, 35.62, 6.14, 48.06, 3.62, 16.53, 17.66, 30.31, -100, -100, -0.49, 49.04, -36.3, 34.67, -8.25, 48.76, 20.47, 23.06, -10.3, 39.04, -10.95, 25.98, -4.9, 57.99, -2.16, 18.31, 5.76, 29.94, -100, -100, 10.65, 53.16, -100, -100, -4.54, 44.08]
[-4.84, 42.85, -100, -100, -100, -100, 20.55, 43.68, -14.96, 25.51, 2.29, 43.74, 19.9, 20.49, -100, -100, 45.51, 35.82, -100, -100, 16.65, 51.6, 8.69, 54.93, 8.68, 37.52, 7.5, 47.87, 0.68, 14.78, 18.15, 30.57, -100, -100, 0.1, 49.0, -37.51, 34.65, -7.56, 48.7, 20.26, 21.31, -10.74, 37.53, -11.04, 26.58, -5.75, 57.79, -6.43, 18.94, 6.18, 30.28, -100, -100, 10.53, 52.36, -100, -100, -4.91, 42.54]
[7.04, 47.36, -100, -100, -100, -100, 19.63, 44.1, -17.39, 24.56, -0.93, 41.9, 20.05, 20.02, -100, -100, 44.95, 35.36, -100, -100, 16.67, 51.33, 3.47, 55.94, 9.25, 39.38, 6.93, 47.23, -2.07, 13.98, 19.48, 30.68, -100, -100, 1.57, 49.18, -38.91, 34.64, -8.31, 47.93, 19.61, 20.65, -10.14, 36.41, -12.34, 26.77, -7.51, 57.84, -10.59, 18.89, 6.44, 30.01, -100, -100, 9.5, 51.04, -100, -100, -5.18, 42.56]
