(0, 4)
(0, 5)
(0, 9)
(5, 12)
(5, 13)
(5, 12)
(3, 13)
(6, 13)
(0, 13)
(0, 13)
(0, 13)
(0, 13)
(0, 13)
(6, 13)
(6, 13)
(6, 13)
(0, 9)
(0, 7)
(0, 7)
(0, 6)
(0, 6)
(0, 6)
(0, 6)
(0, 6)
(0, 7)
(0, 7)
(0, 8)
(0, 9)
(0, 10)
(6, 13)
(6, 13)
(1, 10)
(2, 10)
(3, 5)
(3, 5)
(4, 5)
(4, 5)
(4, 4)
(4, 4)
(4, 4)
(4, 5)
(2, 10)
(2, 4)
(2, 3)
(2, 3)
(2, 3)
(3, 2)
(3, 2)
(3, 2)
(3, 2)
(3, 2)
(3, 2)
(3, 2)
(3, 2)
(3, 2)
(6, 6)
(6, 6)
(7, 7)
(7, 7)
(4, 4)
(4, 4)
(4, 4)
(5, 5)
(5, 5)
(0, 11)
(4, 10)
(1, 6)
(0, 6)
(0, 6)
(0, 5)
(0, 5)
(0, 8)
(0, 12)
(0, 13)
(5, 9)
(3, 4)
(3, 4)
(2, 3)
(2, 3)
(1, 3)
(1, 3)
(1, 3)
(0, 4)
(0, 4)
(0, 4)
(0, 4)
(0, 4)
(0, 4)
(0, 4)
(1, 3)
(0, 4)
(0, 4)
(0, 4)
(0, 4)
(0, 4)
(0, 4)
(0, 5)
(0, 5)
(0, 5)
(0, 10)
(5, 13)
(5, 13)
(5, 13)
(5, 13)
(5, 13)
(5, 13)
(5, 13)
(5, 13)
(5, 13)
(5, 13)
(5, 13)
(5, 13)
(5, 13)
(4, 13)
(4, 13)
(5, 13)
(4, 12)
(4, 12)
(4, 10)
(5, 5)
(4, 4)
(4, 4)
(4, 4)
(7, 7)
(0, 13)
(0, 13)
(6, 9)
(4, 4)
(4, 4)
(4, 4)
(4, 4)
(0, 13)
(0, 13)
(0, 13)
(0, 13)
(0, 13)
(0, 13)
(0, 13)
(5, 5)
(5, 5)
(4, 4)
(4, 4)
(5, 5)
(5, 5)
(0, 11)
(0, 10)
(0, 10)
(0, 10)
(0, 10)
(0, 10)
(0, 10)
(0, 11)
(3, 5)
(3, 5)
(3, 8)
(4, 11)
(5, 13)
(5, 13)
(5, 13)
(5, 13)
(5, 13)
(5, 12)
(0, 10)
(0, 9)
(0, 11)
(0, 11)
(6, 13)
(6, 13)
(6, 13)
(5, 13)
(5, 13)
(5, 12)
(4, 12)
(5, 11)
(0, 11)
(0, 10)
(0, 10)
(0, 10)
(0, 10)
(0, 10)
(0, 9)
(0, 9)
(0, 8)
(0, 8)
(0, 9)
(5, 13)
(5, 13)
(0, 3)
(0, 3)
(0, 3)
(0, 3)
(1, 3)
(0, 3)
(0, 3)
(1, 3)
(0, 6)
(0, 7)
(0, 8)
(0, 6)
(0, 4)
(0, 4)
(0, 5)
(0, 5)
(0, 5)
(0, 6)
(0, 9)
(0, 10)
(4, 11)
(4, 11)
(3, 13)
(3, 13)
(0, 13)
(0, 13)
(0, 13)
(0, 13)
(0, 13)
(0, 13)
(0, 13)
(3, 2)
(3, 2)
(3, 2)
(3, 2)
(4, 3)
(4, 3)
(4, 3)
(4, 4)
(4, 4)
(6, 6)
(6, 6)
(5, 5)
(0, 11)
(1, 10)
(4, 4)
(2, 5)
(2, 9)
(5, 11)
(5, 13)
(5, 13)
(5, 13)
(5, 13)
(5, 12)
(3, 3)
(3, 2)
(3, 2)
(3, 2)
(3, 2)
(3, 10)
(5, 11)
(5, 11)
(5, 12)
(5, 13)
(5, 12)
(2, 11)
(1, 11)
(1, 11)
(0, 10)
(0, 9)
(0, 9)
(0, 9)
(6, 13)
(6, 13)
(6, 13)
(6, 13)
(6, 13)
(5, 13)
(5, 13)
(4, 13)
(2, 13)
(1, 13)
(0, 13)
(4, 5)
(3, 6)
(2, 7)
(4, 9)
(5, 8)
